updateDate,code,code_name
2018-11-26,sh.600000,浦发银行
2018-11-26,sh.600008,首创股份
2018-11-26,sh.600009,上海机场
2018-11-26,sh.600010,包钢股份
2018-11-26,sh.600011,华能国际
2018-11-26,sh.600015,华夏银行
2018-11-26,sh.600016,民生银行
2018-11-26,sh.600018,上港集团
2018-11-26,sh.600019,宝钢股份
2018-11-26,sh.600023,浙能电力
2018-11-26,sh.600025,华能水电
2018-11-26,sh.600028,中国石化
2018-11-26,sh.600029,南方航空
2018-11-26,sh.600030,中信证券
2018-11-26,sh.600031,三一重工
2018-11-26,sh.600036,招商银行
2018-11-26,sh.600038,中直股份
2018-11-26,sh.600048,保利地产
2018-11-26,sh.600050,中国联通
2018-11-26,sh.600061,国投资本
2018-11-26,sh.600066,宇通客车
2018-11-26,sh.600068,葛洲坝
2018-11-26,sh.600085,同仁堂
2018-11-26,sh.600089,特变电工
2018-11-26,sh.600100,同方股份
2018-11-26,sh.600104,上汽集团
2018-11-26,sh.600109,国金证券
2018-11-26,sh.600111,北方稀土
2018-11-26,sh.600115,东方航空
2018-11-26,sh.600118,中国卫星
2018-11-26,sh.600153,建发股份
2018-11-26,sh.600157,永泰能源
2018-11-26,sh.600170,上海建工
2018-11-26,sh.600176,中国巨石
2018-11-26,sh.600177,雅戈尔
2018-11-26,sh.600188,兖州煤业
2018-11-26,sh.600196,复星医药
2018-11-26,sh.600208,新湖中宝
2018-11-26,sh.600219,南山铝业
2018-11-26,sh.600221,海航控股
2018-11-26,sh.600233,圆通速递
2018-11-26,sh.600271,航天信息
2018-11-26,sh.600276,恒瑞医药
2018-11-26,sh.600297,广汇汽车
2018-11-26,sh.600309,万华化学
2018-11-26,sh.600332,白云山
2018-11-26,sh.600339,中油工程
2018-11-26,sh.600340,华夏幸福
2018-11-26,sh.600346,恒力股份
2018-11-26,sh.600352,浙江龙盛
2018-11-26,sh.600362,江西铜业
2018-11-26,sh.600369,西南证券
2018-11-26,sh.600372,中航电子
2018-11-26,sh.600373,中文传媒
2018-11-26,sh.600376,首开股份
2018-11-26,sh.600383,金地集团
2018-11-26,sh.600390,五矿资本
2018-11-26,sh.600398,海澜之家
2018-11-26,sh.600406,国电南瑞
2018-11-26,sh.600415,小商品城
2018-11-26,sh.600436,片仔癀
2018-11-26,sh.600438,通威股份
2018-11-26,sh.600482,中国动力
2018-11-26,sh.600487,亨通光电
2018-11-26,sh.600489,中金黄金
2018-11-26,sh.600498,烽火通信
2018-11-26,sh.600516,方大炭素
2018-11-26,sh.600518,康美药业
2018-11-26,sh.600519,贵州茅台
2018-11-26,sh.600522,中天科技
2018-11-26,sh.600535,天士力
2018-11-26,sh.600547,山东黄金
2018-11-26,sh.600549,厦门钨业
2018-11-26,sh.600570,恒生电子
2018-11-26,sh.600583,海油工程
2018-11-26,sh.600585,海螺水泥
2018-11-26,sh.600588,用友网络
2018-11-26,sh.600606,绿地控股
2018-11-26,sh.600637,东方明珠
2018-11-26,sh.600660,福耀玻璃
2018-11-26,sh.600663,陆家嘴
2018-11-26,sh.600674,川投能源
2018-11-26,sh.600682,南京新百
2018-11-26,sh.600688,上海石化
2018-11-26,sh.600690,青岛海尔
2018-11-26,sh.600703,三安光电
2018-11-26,sh.600704,物产中大
2018-11-26,sh.600705,中航资本
2018-11-26,sh.600739,辽宁成大
2018-11-26,sh.600741,华域汽车
2018-11-26,sh.600795,国电电力
2018-11-26,sh.600804,鹏博士
2018-11-26,sh.600809,山西汾酒
2018-11-26,sh.600816,安信信托
2018-11-26,sh.600820,隧道股份
2018-11-26,sh.600837,海通证券
2018-11-26,sh.600867,通化东宝
2018-11-26,sh.600886,国投电力
2018-11-26,sh.600887,伊利股份
2018-11-26,sh.600893,航发动力
2018-11-26,sh.600900,长江电力
2018-11-26,sh.600909,华安证券
2018-11-26,sh.600919,江苏银行
2018-11-26,sh.600926,杭州银行
2018-11-26,sh.600958,东方证券
2018-11-26,sh.600959,江苏有线
2018-11-26,sh.600977,中国电影
2018-11-26,sh.600999,招商证券
2018-11-26,sh.601006,大秦铁路
2018-11-26,sh.601009,南京银行
2018-11-26,sh.601012,隆基股份
2018-11-26,sh.601018,宁波港
2018-11-26,sh.601021,春秋航空
2018-11-26,sh.601088,中国神华
2018-11-26,sh.601099,太平洋
2018-11-26,sh.601108,财通证券
2018-11-26,sh.601111,中国国航
2018-11-26,sh.601117,中国化学
2018-11-26,sh.601155,新城控股
2018-11-26,sh.601166,兴业银行
2018-11-26,sh.601169,北京银行
2018-11-26,sh.601186,中国铁建
2018-11-26,sh.601198,东兴证券
2018-11-26,sh.601211,国泰君安
2018-11-26,sh.601212,白银有色
2018-11-26,sh.601216,君正集团
2018-11-26,sh.601225,陕西煤业
2018-11-26,sh.601228,广州港
2018-11-26,sh.601229,上海银行
2018-11-26,sh.601238,广汽集团
2018-11-26,sh.601288,农业银行
2018-11-26,sh.601318,中国平安
2018-11-26,sh.601328,交通银行
2018-11-26,sh.601333,广深铁路
2018-11-26,sh.601336,新华保险
2018-11-26,sh.601360,三六零
2018-11-26,sh.601377,兴业证券
2018-11-26,sh.601390,中国中铁
2018-11-26,sh.601398,工商银行
2018-11-26,sh.601555,东吴证券
2018-11-26,sh.601600,中国铝业
2018-11-26,sh.601601,中国太保
2018-11-26,sh.601607,上海医药
2018-11-26,sh.601611,中国核建
2018-11-26,sh.601618,中国中冶
2018-11-26,sh.601628,中国人寿
2018-11-26,sh.601633,长城汽车
2018-11-26,sh.601668,中国建筑
2018-11-26,sh.601669,中国电建
2018-11-26,sh.601688,华泰证券
2018-11-26,sh.601718,际华集团
2018-11-26,sh.601727,上海电气
2018-11-26,sh.601766,中国中车
2018-11-26,sh.601788,光大证券
2018-11-26,sh.601800,中国交建
2018-11-26,sh.601808,中海油服
2018-11-26,sh.601818,光大银行
2018-11-26,sh.601828,美凯龙
2018-11-26,sh.601838,成都银行
2018-11-26,sh.601857,中国石油
2018-11-26,sh.601866,中远海发
2018-11-26,sh.601877,正泰电器
2018-11-26,sh.601878,浙商证券
2018-11-26,sh.601881,中国银河
2018-11-26,sh.601888,中国国旅
2018-11-26,sh.601898,中煤能源
2018-11-26,sh.601899,紫金矿业
2018-11-26,sh.601901,方正证券
2018-11-26,sh.601919,中远海控
2018-11-26,sh.601933,永辉超市
2018-11-26,sh.601939,建设银行
2018-11-26,sh.601958,金钼股份
2018-11-26,sh.601985,中国核电
2018-11-26,sh.601988,中国银行
2018-11-26,sh.601989,中国重工
2018-11-26,sh.601991,大唐发电
2018-11-26,sh.601992,金隅集团
2018-11-26,sh.601997,贵阳银行
2018-11-26,sh.601998,中信银行
2018-11-26,sh.603160,汇顶科技
2018-11-26,sh.603260,合盛硅业
2018-11-26,sh.603288,海天味业
2018-11-26,sh.603799,华友钴业
2018-11-26,sh.603833,欧派家居
2018-11-26,sh.603858,步长制药
