updateDate,code,code_name
2016-11-28,sh.600000,浦发银行
2016-11-28,sh.600005,武钢股份
2016-11-28,sh.600008,首创股份
2016-11-28,sh.600009,上海机场
2016-11-28,sh.600010,包钢股份
2016-11-28,sh.600011,华能国际
2016-11-28,sh.600015,华夏银行
2016-11-28,sh.600016,民生银行
2016-11-28,sh.600018,上港集团
2016-11-28,sh.600019,宝钢股份
2016-11-28,sh.600021,上海电力
2016-11-28,sh.600022,山东钢铁
2016-11-28,sh.600023,浙能电力
2016-11-28,sh.600027,华电国际
2016-11-28,sh.600028,中国石化
2016-11-28,sh.600029,南方航空
2016-11-28,sh.600030,中信证券
2016-11-28,sh.600031,三一重工
2016-11-28,sh.600036,招商银行
2016-11-28,sh.600037,歌华有线
2016-11-28,sh.600038,中直股份
2016-11-28,sh.600048,保利地产
2016-11-28,sh.600050,中国联通
2016-11-28,sh.600060,海信电器
2016-11-28,sh.600061,国投资本
2016-11-28,sh.600066,宇通客车
2016-11-28,sh.600068,葛洲坝
2016-11-28,sh.600074,*ST保千
2016-11-28,sh.600085,同仁堂
2016-11-28,sh.600089,特变电工
2016-11-28,sh.600098,广州发展
2016-11-28,sh.600100,同方股份
2016-11-28,sh.600104,上汽集团
2016-11-28,sh.600109,国金证券
2016-11-28,sh.600111,北方稀土
2016-11-28,sh.600115,东方航空
2016-11-28,sh.600118,中国卫星
2016-11-28,sh.600150,*ST船舶
2016-11-28,sh.600153,建发股份
2016-11-28,sh.600157,永泰能源
2016-11-28,sh.600170,上海建工
2016-11-28,sh.600177,雅戈尔
2016-11-28,sh.600188,兖州煤业
2016-11-28,sh.600196,复星医药
2016-11-28,sh.600208,新湖中宝
2016-11-28,sh.600221,海航控股
2016-11-28,sh.600252,中恒集团
2016-11-28,sh.600256,广汇能源
2016-11-28,sh.600271,航天信息
2016-11-28,sh.600276,恒瑞医药
2016-11-28,sh.600309,万华化学
2016-11-28,sh.600317,营口港
2016-11-28,sh.600332,白云山
2016-11-28,sh.600340,华夏幸福
2016-11-28,sh.600352,浙江龙盛
2016-11-28,sh.600362,江西铜业
2016-11-28,sh.600369,西南证券
2016-11-28,sh.600372,中航电子
2016-11-28,sh.600373,中文传媒
2016-11-28,sh.600376,首开股份
2016-11-28,sh.600383,金地集团
2016-11-28,sh.600398,海澜之家
2016-11-28,sh.600406,国电南瑞
2016-11-28,sh.600415,小商品城
2016-11-28,sh.600446,金证股份
2016-11-28,sh.600485,信威集团
2016-11-28,sh.600489,中金黄金
2016-11-28,sh.600518,康美药业
2016-11-28,sh.600519,贵州茅台
2016-11-28,sh.600535,天士力
2016-11-28,sh.600547,山东黄金
2016-11-28,sh.600570,恒生电子
2016-11-28,sh.600578,京能电力
2016-11-28,sh.600582,天地科技
2016-11-28,sh.600583,海油工程
2016-11-28,sh.600585,海螺水泥
2016-11-28,sh.600588,用友网络
2016-11-28,sh.600600,青岛啤酒
2016-11-28,sh.600606,绿地控股
2016-11-28,sh.600637,东方明珠
2016-11-28,sh.600642,申能股份
2016-11-28,sh.600648,外高桥
2016-11-28,sh.600649,城投控股
2016-11-28,sh.600660,福耀玻璃
2016-11-28,sh.600663,陆家嘴
2016-11-28,sh.600666,奥瑞德
2016-11-28,sh.600674,川投能源
2016-11-28,sh.600685,中船防务
2016-11-28,sh.600688,上海石化
2016-11-28,sh.600690,青岛海尔
2016-11-28,sh.600703,三安光电
2016-11-28,sh.600704,物产中大
2016-11-28,sh.600705,中航资本
2016-11-28,sh.600718,东软集团
2016-11-28,sh.600737,中粮糖业
2016-11-28,sh.600739,辽宁成大
2016-11-28,sh.600741,华域汽车
2016-11-28,sh.600783,鲁信创投
2016-11-28,sh.600795,国电电力
2016-11-28,sh.600804,鹏博士
2016-11-28,sh.600816,安信信托
2016-11-28,sh.600820,隧道股份
2016-11-28,sh.600827,百联股份
2016-11-28,sh.600837,海通证券
2016-11-28,sh.600839,四川长虹
2016-11-28,sh.600863,内蒙华电
