updateDate,code,code_name
2015-11-30,sh.601958,金钼股份
2015-11-30,sh.601969,海南矿业
2015-11-30,sh.601988,中国银行
2015-11-30,sh.601989,中国重工
2015-11-30,sh.601991,大唐发电
2015-11-30,sh.601992,金隅集团
2015-11-30,sh.601998,中信银行
2015-11-30,sh.603000,人民网
2015-11-30,sh.603288,海天味业
2015-11-30,sh.603993,洛阳钼业
2015-11-30,sz.000001,平安银行
2015-11-30,sz.000002,万科A
2015-11-30,sz.000009,中国宝安
2015-11-30,sz.000027,深圳能源
2015-11-30,sz.000039,中集集团
2015-11-30,sz.000046,泛海控股
2015-11-30,sz.000060,中金岭南
2015-11-30,sz.000061,农产品
2015-11-30,sz.000063,中兴通讯
2015-11-30,sz.000069,华侨城A
2015-11-30,sz.000100,TCL集团
2015-11-30,sz.000156,华数传媒
2015-11-30,sz.000157,中联重科
2015-11-30,sz.000166,申万宏源
2015-11-30,sz.000333,美的集团
2015-11-30,sz.000338,潍柴动力
2015-11-30,sz.000400,许继电气
2015-11-30,sz.000402,金融街
2015-11-30,sz.000413,东旭光电
2015-11-30,sz.000423,东阿阿胶
2015-11-30,sz.000425,徐工机械
2015-11-30,sz.000503,国新健康
2015-11-30,sz.000538,云南白药
2015-11-30,sz.000539,粤电力A
2015-11-30,sz.000559,万向钱潮
2015-11-30,sz.000568,泸州老窖
2015-11-30,sz.000581,威孚高科
2015-11-30,sz.000598,兴蓉环境
2015-11-30,sz.000623,吉林敖东
2015-11-30,sz.000625,长安汽车
2015-11-30,sz.000629,攀钢钒钛
2015-11-30,sz.000630,铜陵有色
2015-11-30,sz.000651,格力电器
2015-11-30,sz.000686,东北证券
2015-11-30,sz.000709,河钢股份
2015-11-30,sz.000712,锦龙股份
2015-11-30,sz.000725,京东方A
2015-11-30,sz.000728,国元证券
2015-11-30,sz.000729,燕京啤酒
2015-11-30,sz.000738,航发控制
2015-11-30,sz.000750,国海证券
2015-11-30,sz.000768,中航飞机
2015-11-30,sz.000776,广发证券
2015-11-30,sz.000778,新兴铸管
2015-11-30,sz.000783,长江证券
2015-11-30,sz.000792,盐湖股份
2015-11-30,sz.000793,华闻传媒
2015-11-30,sz.000800,一汽轿车
2015-11-30,sz.000825,太钢不锈
2015-11-30,sz.000826,启迪桑德
2015-11-30,sz.000831,五矿稀土
2015-11-30,sz.000839,中信国安
2015-11-30,sz.000858,五粮液
2015-11-30,sz.000876,新希望
2015-11-30,sz.000878,云南铜业
2015-11-30,sz.000883,湖北能源
2015-11-30,sz.000895,双汇发展
2015-11-30,sz.000898,鞍钢股份
2015-11-30,sz.000917,电广传媒
2015-11-30,sz.000937,冀中能源
2015-11-30,sz.000960,锡业股份
2015-11-30,sz.000963,华东医药
2015-11-30,sz.000970,中科三环
2015-11-30,sz.000983,西山煤电
2015-11-30,sz.000999,华润三九
2015-11-30,sz.002001,新和成
2015-11-30,sz.002007,华兰生物
2015-11-30,sz.002008,大族激光
2015-11-30,sz.002024,苏宁易购
2015-11-30,sz.002038,双鹭药业
2015-11-30,sz.002051,中工国际
2015-11-30,sz.002065,东华软件
2015-11-30,sz.002081,金螳螂
