updateDate,code,code_name
2018-03-13,511990,华宝添益ETF
2018-03-13,511880,银华日利ETF
2018-03-13,510050,上证50ETF华夏
2018-03-13,511660,货币ETF建信
2018-03-14,511990,华宝添益ETF
2018-03-14,511880,银华日利ETF
2018-03-14,159001,保证金
2018-03-14,511660,货币ETF建信
2018-03-15,511990,华宝添益ETF
2018-03-15,511880,银华日利ETF
2018-03-15,159001,保证金
2018-03-15,518880,黄金ETF华安
2018-03-16,511990,华宝添益ETF
2018-03-16,511880,银华日利ETF
2018-03-16,159001,保证金
2018-03-16,518880,黄金ETF华安
2018-03-19,159001,保证金
2018-03-19,511990,华宝添益ETF
2018-03-19,511880,银华日利ETF
2018-03-20,159001,保证金
2018-03-20,511990,华宝添益ETF
2018-03-20,511880,银华日利ETF
2018-03-21,159001,保证金
2018-03-21,511990,华宝添益ETF
2018-03-21,511880,银华日利ETF
2018-03-22,159001,保证金
2018-03-22,511990,华宝添益ETF
2018-03-22,511880,银华日利ETF
2018-03-23,511990,华宝添益ETF
2018-03-23,511880,银华日利ETF
2018-03-23,159001,保证金
2018-03-23,159915,创业板
2018-03-23,511660,货币ETF建信
2018-03-26,511990,华宝添益ETF
2018-03-26,511880,银华日利ETF
2018-03-26,511660,货币ETF建信
2018-03-26,159001,保证金
2018-03-26,510050,上证50ETF华夏
2018-03-27,511990,华宝添益ETF
2018-03-27,511880,银华日利ETF
2018-03-27,511660,货币ETF建信
2018-03-27,159915,创业板
2018-03-28,511990,华宝添益ETF
2018-03-28,511880,银华日利ETF
2018-03-28,511660,货币ETF建信
2018-03-28,510050,上证50ETF华夏
2018-03-29,511990,华宝添益ETF
2018-03-29,511880,银华日利ETF
2018-03-29,159001,保证金
2018-03-29,511660,货币ETF建信
2018-03-30,511990,华宝添益ETF
2018-03-30,159001,保证金
2018-03-30,511880,银华日利ETF
2018-04-02,511990,华宝添益ETF
2018-04-02,511880,银华日利ETF
2018-04-02,159001,保证金
2018-04-02,511660,货币ETF建信
2018-04-03,511990,华宝添益ETF
2018-04-03,511880,银华日利ETF
2018-04-03,511660,货币ETF建信
2018-04-03,159915,创业板
2018-04-04,511990,华宝添益ETF
2018-04-04,511880,银华日利ETF
2018-04-04,511660,货币ETF建信
2018-04-04,518880,黄金ETF华安
2018-04-09,511990,华宝添益ETF
2018-04-09,511880,银华日利ETF
2018-04-09,511660,货币ETF建信
2018-04-09,518880,黄金ETF华安
2018-04-10,511990,华宝添益ETF
2018-04-10,159001,保证金
2018-04-10,511880,银华日利ETF
2018-04-10,518880,黄金ETF华安
2018-04-11,511990,华宝添益ETF
2018-04-11,159001,保证金
2018-04-11,511880,银华日利ETF
2018-04-11,511660,货币ETF建信
2018-04-12,511990,华宝添益ETF
2018-04-12,511880,银华日利ETF
2018-04-12,511660,货币ETF建信
2018-04-13,511990,华宝添益ETF
2018-04-13,511880,银华日利ETF
2018-04-13,511660,货币ETF建信
2018-04-16,511990,华宝添益ETF
2018-04-16,511880,银华日利ETF
2018-04-16,159001,保证金
2018-04-16,510050,上证50ETF华夏
2018-04-17,159001,保证金
2018-04-17,511990,华宝添益ETF
2018-04-17,511880,银华日利ETF
2018-04-18,511990,华宝添益ETF
2018-04-18,159001,保证金
2018-04-18,511880,银华日利ETF
2018-04-18,511660,货币ETF建信
2018-04-19,159001,保证金
2018-04-19,511990,华宝添益ETF
2018-04-19,511880,银华日利ETF
2018-04-20,159001,保证金
2018-04-20,511990,华宝添益ETF
2018-04-20,511880,银华日利ETF
2018-04-23,159001,保证金
2018-04-23,511990,华宝添益ETF
2018-04-23,511880,银华日利ETF
2018-04-24,159001,保证金
2018-04-24,511990,华宝添益ETF
2018-04-24,511880,银华日利ETF
2018-04-24,510050,上证50ETF华夏
2018-04-25,159001,保证金
2018-04-25,511990,华宝添益ETF
2018-04-25,511880,银华日利ETF
2018-04-26,159001,保证金
2018-04-26,511990,华宝添益ETF
2018-04-26,511880,银华日利ETF
2018-04-27,511990,华宝添益ETF
2018-04-27,511880,银华日利ETF
2018-04-27,159001,保证金
2018-04-27,510050,上证50ETF华夏
2018-05-02,159001,保证金
2018-05-02,511990,华宝添益ETF
2018-05-02,511880,银华日利ETF
2018-05-03,511990,华宝添益ETF
2018-05-03,511880,银华日利ETF
2018-05-03,159001,保证金
2018-05-03,511660,货币ETF建信
2018-05-04,511990,华宝添益ETF
2018-05-04,511880,银华日利ETF
2018-05-04,518880,黄金ETF华安
2018-05-04,159001,保证金
2018-05-07,511990,华宝添益ETF
2018-05-07,511880,银华日利ETF
2018-05-07,159001,保证金
2018-05-08,159001,保证金
2018-05-08,511990,华宝添益ETF
2018-05-08,511880,银华日利ETF
2018-05-09,511990,华宝添益ETF
2018-05-09,511880,银华日利ETF
2018-05-09,518880,黄金ETF华安
2018-05-09,159001,保证金
2018-05-10,511990,华宝添益ETF
2018-05-10,511880,银华日利ETF
2018-05-10,159001,保证金
2018-05-10,518880,黄金ETF华安
2018-05-11,511990,华宝添益ETF
2018-05-11,511880,银华日利ETF
2018-05-11,159001,保证金
2018-05-11,518880,黄金ETF华安
2018-05-14,511990,华宝添益ETF
2018-05-14,511880,银华日利ETF
2018-05-14,159001,保证金
2018-05-15,511990,华宝添益ETF
2018-05-15,511880,银华日利ETF
2018-05-15,511660,货币ETF建信
2018-05-16,511990,华宝添益ETF
2018-05-16,511880,银华日利ETF
2018-05-16,510050,上证50ETF华夏
2018-05-16,518880,黄金ETF华安
2018-05-17,511990,华宝添益ETF
2018-05-17,511880,银华日利ETF
2018-05-17,159001,保证金
2018-05-18,511990,华宝添益ETF
2018-05-18,511880,银华日利ETF
2018-05-18,510050,上证50ETF华夏
2018-05-18,511660,货币ETF建信
2018-05-21,511990,华宝添益ETF
2018-05-21,511880,银华日利ETF
2018-05-21,159001,保证金
2018-05-21,510050,上证50ETF华夏
2018-05-21,511660,货币ETF建信
2018-05-22,511990,华宝添益ETF
2018-05-22,511880,银华日利ETF
2018-05-22,159001,保证金
2018-05-22,511660,货币ETF建信
2018-05-23,159001,保证金
